family,bz_cutoff,d,q,nr_over_bz,nr_over_bz_lower,nr_over_bz_upper,nr_over_knuth,nr_over_knuth_lower,nr_over_knuth_upper
dyn_div,88,64,64,0.8254208922530206,0.8135090937242361,0.8406170324072496,0.8221266228100906,0.8198665828265307,0.8243477930561224
dyn_div,88,64,128,1.3106911703352488,1.3066150847478448,1.3151521333429117,1.3167417036535303,1.311586779860427,1.322829659269294
dyn_div,88,64,256,2.1496987244985566,2.132206385256223,2.170434673131313,2.1633324008621932,2.153417599666305,2.174844863968254
dyn_div,88,64,512,2.16236169130291,2.150489623770668,2.1774545497685183,2.1446387881084656,2.129547867037037,2.160602087747024
dyn_div,88,80,20,0.4989517132610756,0.4968457486567164,0.5007729712769485,0.50932010645686,0.5074763463790665,0.5109868718066359
dyn_div,88,80,40,0.535840350018739,0.5321581545171957,0.5398222990583663,0.5367333946639964,0.533307614371829,0.540700975360703
dyn_div,88,80,80,0.7528980466931217,0.7508704717510748,0.7551895638657408,0.7492132010962302,0.7462763812178819,0.7518349560119048
dyn_div,88,80,160,1.21890253783208,1.2132529481829573,1.2238779382396618,1.2150219161000884,1.2045307164276342,1.228281586969632
dyn_div,88,80,320,2.049972733129252,2.040109365578231,2.062333500011905,2.103420449251701,2.090376264595238,2.117550623426871
dyn_div,88,80,640,1.7656184680456346,1.7527442726984128,1.779453774710069,1.7909852662003967,1.7856284159791664,1.7961840942132936
dyn_div,88,96,24,0.41675662996925256,0.4136338990293874,0.42108925216020177,0.42455770520240593,0.4221745464521626,0.4278371612268893
dyn_div,88,96,48,0.4794812259117185,0.4772792510733882,0.4823673921693121,0.48497021533432544,0.4831794215218254,0.4868404220426587
dyn_div,88,96,96,0.6366291226412233,0.6336829353707107,0.6404883518860877,0.7189748435626102,0.7166872057848324,0.7214370118187831
dyn_div,88,96,192,1.2141712200030523,1.210814916843712,1.2175123696577383,1.3437563973412698,1.3375203741269843,1.3497284445352566
dyn_div,88,96,384,1.7194617828108467,1.7137585139790013,1.725659026907242,1.9364148076190477,1.927625306111111,1.9465054492857143
dyn_div,88,96,768,1.4308550037301588,1.4204435492857144,1.4386217987579366,1.6488058780952384,1.6414710780952382,1.6556263705555554
dyn_div,88,128,32,0.35033565460088517,0.3486325453640873,0.3523971912728938,,,
dyn_div,88,128,64,0.46615314366650135,0.46464710994820607,0.46778653175347223,,,
dyn_div,88,128,128,0.7077939088726551,0.7005375494267677,0.7183707933766235,,,
dyn_div,88,128,256,1.1880812903659614,1.1843973057363315,1.1919639715123456,,,
dyn_div,88,128,512,1.2021284135476191,1.1923510794761905,1.2112795362142859,,,
